sample_id,country,R0,gen_time,p_det,false_positive_rate,earliest_detection_time,earliest_surveillance_type,local_cases_at_detection,total_latent,total_infectious,total_detectable
86,Switzerland,2.0,4.0,0.08,0.04,37.0,AWW,597.0,823.0,843.0,1755.0
87,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,978.0,831.0,819.0,1745.0
88,Switzerland,2.0,4.0,0.08,0.04,30.0,AWW,274.0,864.0,729.0,1714.0
89,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,141.0,825.0,797.0,1790.0
90,Switzerland,2.0,4.0,0.08,0.04,35.0,AWW,256.0,889.0,760.0,1708.0
91,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,386.0,879.0,774.0,1713.0
92,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,309.0,807.0,801.0,1738.0
93,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,38.0,880.0,844.0,1762.0
94,Switzerland,2.0,4.0,0.08,0.04,38.0,AWW,2105.0,861.0,833.0,1753.0
95,Switzerland,2.0,4.0,0.08,0.04,33.0,AWW,333.0,814.0,740.0,1757.0
96,Switzerland,2.0,4.0,0.08,0.04,33.50000074941913,HARISS,747.0,822.0,833.0,1775.0
97,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,346.0,869.0,798.0,1746.0
98,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,58.0,812.0,797.0,1760.0
99,Switzerland,2.0,4.0,0.08,0.04,29.0,AWW,107.0,836.0,840.0,1742.0
100,Switzerland,2.0,4.0,0.08,0.04,34.65573242635202,ICU,395.0,812.0,813.0,1769.0
101,Switzerland,2.0,4.0,0.08,0.04,17.0,AWW,52.0,836.0,788.0,1744.0
102,Switzerland,2.0,4.0,0.08,0.04,38.67278106916181,ICU,1007.0,829.0,815.0,1759.0
103,Switzerland,2.0,4.0,0.08,0.04,25.0,AWW,10.0,832.0,816.0,1746.0
104,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,301.0,875.0,754.0,1782.0
105,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,1728.0,887.0,804.0,1814.0
106,Switzerland,2.0,4.0,0.08,0.04,29.518944586716724,ICU,137.0,850.0,854.0,1809.0
107,Switzerland,2.0,4.0,0.08,0.04,22.500000571763714,HARISS,102.0,840.0,832.0,1739.0
108,Switzerland,2.0,4.0,0.08,0.04,28.09130936134584,ICU,174.0,817.0,799.0,1820.0
109,Switzerland,2.0,4.0,0.08,0.04,27.0,AWW,376.0,844.0,812.0,1775.0
110,Switzerland,2.0,4.0,0.08,0.04,24.0,AWW,26.0,852.0,818.0,1794.0
111,Switzerland,2.0,4.0,0.08,0.04,22.666388749316894,ICU,78.0,858.0,772.0,1767.0
112,Switzerland,2.0,4.0,0.08,0.04,20.0,AWW,2.0,892.0,759.0,1781.0
113,Switzerland,2.0,4.0,0.08,0.04,26.0,AWW,88.0,852.0,817.0,1736.0
