sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
477,Switzerland,2.0,4.0,0.08,0.04,38.0032837655329,2052.0,36.50000008934889,1402.0,17.0,19.0,36.0,1263.0,17.0,AWW,36.0,AWW,5254.0,4800.0,10624.0
478,Switzerland,2.0,4.0,0.08,0.04,34.95320206121449,2891.0,36.50000098198721,4071.0,14.0,0.0,31.0,1151.0,14.0,AWW,31.0,AWW,5088.0,4872.0,10627.0
479,Switzerland,2.0,4.0,0.08,0.04,44.04287205434695,543.0,54.500000113066186,5264.0,18.0,2.0,31.0,29.0,18.0,AWW,31.0,AWW,5040.0,4800.0,10608.0
480,Switzerland,2.0,4.0,0.08,0.04,45.1238734496924,673.0,43.500000916047895,472.0,28.0,14.0,42.0,323.0,28.0,AWW,42.0,AWW,5121.0,4815.0,10404.0
481,Switzerland,2.0,4.0,0.08,0.04,25.08305229616058,117.0,33.5000005115512,647.0,20.0,38.0,21.0,49.0,20.0,AWW,21.0,AWW,5118.0,4725.0,10733.0
482,Switzerland,2.0,4.0,0.08,0.04,51.29827088218985,2441.0,50.500000821140965,2076.0,21.0,4.0,35.0,83.0,21.0,AWW,35.0,AWW,5141.0,4781.0,10581.0
483,Switzerland,2.0,4.0,0.08,0.04,54.34686714658761,859.0,61.500000897713754,4219.0,15.0,0.0,37.0,25.0,15.0,AWW,37.0,AWW,5148.0,4889.0,10644.0
484,Switzerland,2.0,4.0,0.08,0.04,36.96644441152914,435.0,36.50000074424743,391.0,31.0,110.0,34.0,236.0,31.0,AWW,34.0,AWW,5143.0,4813.0,10647.0
485,Switzerland,2.0,4.0,0.08,0.04,47.17966389778055,3265.0,36.50000098860699,303.0,31.0,98.0,36.0,285.0,31.0,AWW,36.0,AWW,5186.0,4691.0,10518.0
486,Switzerland,2.0,4.0,0.08,0.04,23.32472684947314,0.0,Inf,NaN,11.0,0.0,31.0,0.0,11.0,AWW,23.32472684947314,ICU,5139.0,4848.0,10504.0
487,Switzerland,2.0,4.0,0.08,0.04,40.69927317945937,46.0,47.50000052859483,203.0,31.0,7.0,36.0,17.0,31.0,AWW,36.0,AWW,5026.0,4786.0,10734.0
488,Switzerland,2.0,4.0,0.08,0.04,67.97328500146557,168.0,Inf,NaN,20.0,2.0,37.0,9.0,20.0,AWW,37.0,AWW,5176.0,4912.0,10700.0
489,Switzerland,2.0,4.0,0.08,0.04,38.15374093645051,575.0,47.500000435662265,4119.0,25.0,18.0,38.0,550.0,25.0,AWW,38.0,AWW,5128.0,4740.0,10762.0
490,Switzerland,2.0,4.0,0.08,0.04,34.028235714993016,140.0,47.500000456874076,2355.0,21.0,16.0,10.0,2.0,21.0,AWW,10.0,AWW,5145.0,4752.0,10609.0
491,Switzerland,2.0,4.0,0.08,0.04,18.446023764628755,83.0,26.500000227845312,694.0,30.0,1373.0,35.0,3123.0,18.446023764628755,ICU,18.446023764628755,ICU,5050.0,4767.0,10619.0
492,Switzerland,2.0,4.0,0.08,0.04,43.77388138378305,1830.0,47.500000020575904,4135.0,20.0,9.0,32.0,122.0,20.0,AWW,32.0,AWW,5061.0,4765.0,10800.0
493,Switzerland,2.0,4.0,0.08,0.04,42.55855973265195,437.0,54.50000049772773,5405.0,15.0,2.0,15.0,2.0,15.0,AWW,15.0,AWW,5239.0,4908.0,10793.0
494,Switzerland,2.0,4.0,0.08,0.04,45.69682593074331,813.0,54.50000089972568,5573.0,25.0,12.0,34.0,68.0,25.0,AWW,34.0,AWW,5016.0,4953.0,10674.0
495,Switzerland,2.0,4.0,0.08,0.04,37.099990883939014,1638.0,33.50000083773242,717.0,27.0,153.0,28.0,196.0,27.0,AWW,28.0,AWW,5119.0,4758.0,10779.0
496,Switzerland,2.0,4.0,0.08,0.04,57.58196181902451,4801.0,54.50000027136201,2433.0,25.0,1.0,40.0,84.0,25.0,AWW,40.0,AWW,5039.0,4739.0,10604.0
497,Switzerland,2.0,4.0,0.08,0.04,48.342728283599655,551.0,33.50000056367618,20.0,23.0,2.0,39.0,79.0,23.0,AWW,33.50000056367618,HARISS,5153.0,4872.0,10774.0
498,Switzerland,2.0,4.0,0.08,0.04,30.431981619184704,128.0,33.50000079264882,303.0,29.0,91.0,34.0,331.0,29.0,AWW,30.431981619184704,ICU,5053.0,4752.0,10755.0
499,Switzerland,2.0,4.0,0.08,0.04,10.402923723316949,16.0,Inf,NaN,26.0,16.0,37.0,16.0,10.402923723316949,ICU,10.402923723316949,ICU,4996.0,4782.0,10605.0
500,Switzerland,2.0,4.0,0.08,0.04,36.24608637968178,1209.0,36.50000034834887,1263.0,26.0,121.0,27.0,154.0,26.0,AWW,27.0,AWW,5116.0,4851.0,10660.0
501,Switzerland,2.0,4.0,0.08,0.04,56.496460029694845,3506.0,54.50000041071123,2200.0,15.0,0.0,35.0,43.0,15.0,AWW,35.0,AWW,5048.0,4751.0,10756.0
502,Switzerland,2.0,4.0,0.08,0.04,40.7228278142298,360.0,47.50000006253818,1674.0,34.0,98.0,37.0,179.0,34.0,AWW,37.0,AWW,5132.0,4763.0,10615.0
503,Switzerland,2.0,4.0,0.08,0.04,48.7504774300281,126.0,Inf,NaN,13.0,0.0,38.0,17.0,13.0,AWW,38.0,AWW,4983.0,4815.0,10723.0
504,Switzerland,2.0,4.0,0.08,0.04,26.913600812055545,437.0,40.500000450484016,9210.0,25.0,279.0,30.0,850.0,25.0,AWW,26.913600812055545,ICU,5015.0,4864.0,10710.0
505,Switzerland,2.0,4.0,0.08,0.04,37.601395612638335,2447.0,36.50000078824469,1949.0,13.0,1.0,36.0,1769.0,13.0,AWW,36.0,AWW,5105.0,4834.0,10707.0
506,Switzerland,2.0,4.0,0.08,0.04,43.73473956854757,779.0,47.50000012705568,1646.0,29.0,38.0,36.0,165.0,29.0,AWW,36.0,AWW,5176.0,4784.0,10602.0
