sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
674,Switzerland,1.5,4.0,0.08,0.04,60.25396309700599,1535.0,64.50000049190129,2929.0,42.0,69.0,46.0,143.0,42.0,AWW,46.0,AWW,988.0,1019.0,3019.0
675,Switzerland,1.5,4.0,0.08,0.04,48.456502426009884,589.0,50.500000904196575,811.0,43.0,237.0,47.0,465.0,43.0,AWW,47.0,AWW,967.0,1029.0,2992.0
676,Switzerland,1.5,4.0,0.08,0.04,65.01914110983915,2079.0,50.50000025717918,216.0,37.0,22.0,56.0,489.0,37.0,AWW,50.50000025717918,HARISS,995.0,1071.0,2960.0
677,Switzerland,1.5,4.0,0.08,0.04,39.83900612677034,33.0,54.500000868991755,181.0,42.0,38.0,43.0,39.0,39.83900612677034,ICU,39.83900612677034,ICU,1009.0,1034.0,2954.0
678,Switzerland,1.5,4.0,0.08,0.04,63.99497379156666,3358.0,50.50000013656655,339.0,36.0,24.0,59.0,1563.0,36.0,AWW,50.50000013656655,HARISS,918.0,1056.0,3048.0
679,Switzerland,1.5,4.0,0.08,0.04,72.62594173336592,8715.0,43.50000020379096,207.0,19.0,117.0,55.0,715.0,19.0,AWW,43.50000020379096,HARISS,915.0,988.0,3009.0
680,Switzerland,1.5,4.0,0.08,0.04,47.67908318222061,247.0,40.500000238827866,43.0,36.0,19.0,41.0,48.0,36.0,AWW,40.500000238827866,HARISS,960.0,1033.0,2915.0
681,Switzerland,1.5,4.0,0.08,0.04,38.33951076852408,229.0,54.500000574587034,2593.0,5.0,0.0,53.0,2073.0,5.0,AWW,38.33951076852408,ICU,930.0,1044.0,3069.0
682,Switzerland,1.5,4.0,0.08,0.04,51.40033189592218,273.0,40.50000091065122,41.0,26.0,5.0,66.0,2878.0,26.0,AWW,40.50000091065122,HARISS,976.0,1080.0,3020.0
683,Switzerland,1.5,4.0,0.08,0.04,27.615062775567704,60.0,29.500000683144457,73.0,40.0,124.0,46.0,243.0,27.615062775567704,ICU,27.615062775567704,ICU,966.0,1048.0,2999.0
684,Switzerland,1.5,4.0,0.08,0.04,45.68253146696941,998.0,47.50000018755593,1328.0,23.0,29.0,44.0,800.0,23.0,AWW,44.0,AWW,989.0,1052.0,2993.0
685,Switzerland,1.5,4.0,0.08,0.04,73.34215941045491,5484.0,68.50000008276574,2740.0,37.0,21.0,47.0,122.0,37.0,AWW,47.0,AWW,981.0,1089.0,3013.0
686,Switzerland,1.5,4.0,0.08,0.04,52.948039415043375,527.0,57.500000014967696,1039.0,33.0,49.0,50.0,351.0,33.0,AWW,50.0,AWW,962.0,985.0,3073.0
687,Switzerland,1.5,4.0,0.08,0.04,49.27111757728506,335.0,47.50000096798451,254.0,38.0,43.0,65.0,4374.0,38.0,AWW,47.50000096798451,HARISS,941.0,1054.0,3080.0
688,Switzerland,1.5,4.0,0.08,0.04,56.01342352223007,653.0,43.50000047229323,100.0,25.0,2.0,55.0,552.0,25.0,AWW,43.50000047229323,HARISS,988.0,1039.0,3056.0
689,Switzerland,1.5,4.0,0.08,0.04,70.9296760684906,4607.0,36.50000090174337,16.0,29.0,5.0,55.0,376.0,29.0,AWW,36.50000090174337,HARISS,925.0,1055.0,2971.0
690,Switzerland,1.5,4.0,0.08,0.04,56.459776553814386,3876.0,40.50000048622615,301.0,23.0,14.0,54.0,2631.0,23.0,AWW,40.50000048622615,HARISS,1000.0,1081.0,2985.0
691,Switzerland,1.5,4.0,0.08,0.04,67.3794891721528,1366.0,50.500000188271535,150.0,23.0,0.0,29.0,0.0,23.0,AWW,29.0,AWW,935.0,1042.0,2942.0
692,Switzerland,1.5,4.0,0.08,0.04,58.20686446632387,2173.0,47.50000081657593,544.0,49.0,638.0,53.0,1061.0,47.50000081657593,HARISS,47.50000081657593,HARISS,997.0,1085.0,2950.0
693,Switzerland,1.5,4.0,0.08,0.04,61.60007094952211,3492.0,47.50000024513258,338.0,54.0,1083.0,61.0,3175.0,47.50000024513258,HARISS,47.50000024513258,HARISS,987.0,1095.0,2895.0
694,Switzerland,1.5,4.0,0.08,0.04,47.9663632532809,1820.0,33.50000095701469,191.0,35.0,231.0,54.0,4260.0,33.50000095701469,HARISS,33.50000095701469,HARISS,1022.0,1018.0,2999.0
695,Switzerland,1.5,4.0,0.08,0.04,57.97304761576255,2682.0,50.50000038939485,832.0,38.0,108.0,4.0,0.0,38.0,AWW,4.0,AWW,959.0,1036.0,2978.0
696,Switzerland,1.5,4.0,0.08,0.04,66.55103593137557,3165.0,64.5000003206435,2335.0,41.0,25.0,49.0,201.0,41.0,AWW,49.0,AWW,937.0,1075.0,2832.0
697,Switzerland,1.5,4.0,0.08,0.04,54.59741580931068,1295.0,54.50000084512515,1270.0,41.0,144.0,52.0,878.0,41.0,AWW,52.0,AWW,988.0,983.0,2993.0
698,Switzerland,1.5,4.0,0.08,0.04,50.691511276596316,395.0,57.50000087122602,1170.0,43.0,79.0,54.0,676.0,43.0,AWW,50.691511276596316,ICU,979.0,1103.0,3074.0
699,Switzerland,1.5,4.0,0.08,0.04,55.760911718076926,835.0,61.50000085634484,1968.0,38.0,73.0,47.0,230.0,38.0,AWW,47.0,AWW,1019.0,1094.0,3021.0
700,Switzerland,1.5,4.0,0.08,0.04,63.31668532580423,3118.0,57.50000017365677,1346.0,24.0,4.0,33.0,22.0,24.0,AWW,33.0,AWW,994.0,1050.0,3055.0
701,Switzerland,1.5,4.0,0.08,0.04,43.684821655074714,297.0,47.50000085682451,539.0,40.0,163.0,41.0,195.0,40.0,AWW,41.0,AWW,1004.0,1076.0,3105.0
702,Switzerland,1.5,4.0,0.08,0.04,24.255879854743068,116.0,33.50000067387606,489.0,15.0,24.0,15.0,24.0,15.0,AWW,15.0,AWW,925.0,1091.0,3065.0
703,Switzerland,1.5,4.0,0.08,0.04,36.84653849911879,21.0,68.50000089501987,1351.0,42.0,26.0,57.0,152.0,36.84653849911879,ICU,36.84653849911879,ICU,949.0,1002.0,3063.0
704,Switzerland,1.5,4.0,0.08,0.04,71.77255441285118,4773.0,57.50000026733577,506.0,31.0,4.0,57.0,470.0,31.0,AWW,57.0,AWW,1006.0,1007.0,2997.0
705,Switzerland,1.5,4.0,0.08,0.04,79.58120700542523,18861.0,61.500000880561814,1304.0,45.0,78.0,56.0,578.0,45.0,AWW,56.0,AWW,966.0,1047.0,2945.0
706,Switzerland,1.5,4.0,0.08,0.04,26.278171647289025,4.0,57.500000608468206,822.0,19.0,3.0,56.0,643.0,19.0,AWW,26.278171647289025,ICU,972.0,1058.0,3157.0
707,Switzerland,1.5,4.0,0.08,0.04,51.02001013339477,976.0,33.500000880057456,82.0,31.0,52.0,60.0,3875.0,31.0,AWW,33.500000880057456,HARISS,940.0,1022.0,2952.0
708,Switzerland,1.5,4.0,0.08,0.04,68.38826595064458,2330.0,68.50000050929746,2366.0,41.0,17.0,45.0,33.0,41.0,AWW,45.0,AWW,1000.0,1060.0,2971.0
709,Switzerland,1.5,4.0,0.08,0.04,60.03183284784942,3101.0,47.50000010987131,446.0,45.0,273.0,52.0,917.0,45.0,AWW,47.50000010987131,HARISS,972.0,1066.0,2904.0
710,Switzerland,1.5,4.0,0.08,0.04,34.48317507625108,12.0,61.50000057088778,1673.0,48.0,228.0,51.0,388.0,34.48317507625108,ICU,34.48317507625108,ICU,960.0,1025.0,3019.0
711,Switzerland,1.5,4.0,0.08,0.04,61.83053931153548,3266.0,54.50000043464551,1281.0,38.0,166.0,39.0,195.0,38.0,AWW,39.0,AWW,910.0,1052.0,3054.0
712,Switzerland,1.5,4.0,0.08,0.04,71.74526602426789,4734.0,57.50000067117124,606.0,24.0,0.0,40.0,53.0,24.0,AWW,40.0,AWW,962.0,1106.0,2954.0
713,Switzerland,1.5,4.0,0.08,0.04,27.78884532070598,21.0,54.50000081870923,131.0,32.0,22.0,62.0,542.0,27.78884532070598,ICU,27.78884532070598,ICU,1013.0,1045.0,2997.0
714,Switzerland,1.5,4.0,0.08,0.04,74.76708223560526,7100.0,50.500000283188164,179.0,33.0,11.0,61.0,837.0,33.0,AWW,50.500000283188164,HARISS,965.0,1076.0,2968.0
715,Switzerland,1.5,4.0,0.08,0.04,79.0511655357533,2746.0,75.50000059355156,1582.0,37.0,1.0,25.0,0.0,37.0,AWW,25.0,AWW,911.0,1020.0,2932.0
716,Switzerland,1.5,4.0,0.08,0.04,70.35824510273295,5943.0,50.500000209114766,294.0,38.0,44.0,39.0,56.0,38.0,AWW,39.0,AWW,1018.0,1103.0,2936.0
