sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_detection_time,aww_local_cases,earliest_detection_time,earliest_surveillance_type,total_latent,total_infectious,total_detectable
128,Switzerland,1.5,4.0,0.08,0.04,60.53987496053013,981.0,47.500000663930834,154.0,57.0,579.0,47.500000663930834,HARISS,976.0,1081.0,2930.0
129,Switzerland,1.5,4.0,0.08,0.04,57.44259777872805,2455.0,40.50000031558116,215.0,54.0,1467.0,40.50000031558116,HARISS,935.0,1032.0,3012.0
130,Switzerland,1.5,4.0,0.08,0.04,37.41289793634471,268.0,47.50000011435179,1324.0,54.0,3466.0,37.41289793634471,ICU,943.0,989.0,3029.0
131,Switzerland,1.5,4.0,0.08,0.04,59.46400977490263,287.0,68.50000065439872,1121.0,42.0,23.0,42.0,AWW,1023.0,1104.0,2996.0
132,Switzerland,1.5,4.0,0.08,0.04,76.57273431817966,3503.0,61.50000078521644,387.0,58.0,231.0,58.0,AWW,951.0,1011.0,3033.0
133,Switzerland,1.5,4.0,0.08,0.04,77.08300503019701,668.0,78.5000002345468,790.0,45.0,14.0,45.0,AWW,964.0,1016.0,2973.0
134,Switzerland,1.5,4.0,0.08,0.04,49.16716097170586,95.0,71.50000013214063,1867.0,64.0,699.0,49.16716097170586,ICU,962.0,1047.0,3064.0
135,Switzerland,1.5,4.0,0.08,0.04,82.9230755613724,2108.0,82.50000067191709,1992.0,50.0,49.0,50.0,AWW,992.0,1095.0,3034.0
136,Switzerland,1.5,4.0,0.08,0.04,58.05918306717436,324.0,50.500000724371176,93.0,43.0,40.0,43.0,AWW,967.0,1058.0,3009.0
137,Switzerland,1.5,4.0,0.08,0.04,71.30654110499681,266.0,78.50000035760098,862.0,46.0,14.0,46.0,AWW,963.0,1043.0,2950.0
138,Switzerland,1.5,4.0,0.08,0.04,32.5967896224942,213.0,50.500000678180655,3521.0,55.0,7129.0,32.5967896224942,ICU,983.0,1029.0,3038.0
139,Switzerland,1.5,4.0,0.08,0.04,37.56488827824715,324.0,47.50000075020113,1297.0,45.0,897.0,37.56488827824715,ICU,992.0,1042.0,2965.0
140,Switzerland,1.5,4.0,0.08,0.04,66.40413930141382,261.0,64.50000022936027,202.0,53.0,47.0,53.0,AWW,940.0,1023.0,2929.0
141,Switzerland,1.5,4.0,0.08,0.04,29.513882338610337,42.0,Inf,NaN,51.0,57.0,29.513882338610337,ICU,985.0,1085.0,3033.0
142,Switzerland,1.5,4.0,0.08,0.04,41.46610182790935,35.0,54.500000833887945,255.0,32.0,8.0,32.0,AWW,974.0,1048.0,2940.0
143,Switzerland,1.5,4.0,0.08,0.04,55.296363567488186,566.0,54.50000026879007,512.0,57.0,775.0,54.50000026879007,HARISS,933.0,1053.0,2963.0
144,Switzerland,1.5,4.0,0.08,0.04,52.55890912701056,20.0,Inf,NaN,52.0,20.0,52.0,AWW,952.0,1059.0,2901.0
145,Switzerland,1.5,4.0,0.08,0.04,50.83718947800613,22.0,68.5000008959315,284.0,59.0,78.0,50.83718947800613,ICU,1008.0,1024.0,3024.0
146,Switzerland,1.5,4.0,0.08,0.04,74.4781104633067,1226.0,61.50000000612007,152.0,43.0,12.0,43.0,AWW,1020.0,1042.0,2914.0
147,Switzerland,1.5,4.0,0.08,0.04,21.10025886263889,26.0,54.500000911596175,2437.0,54.0,2308.0,21.10025886263889,ICU,974.0,995.0,2959.0
148,Switzerland,1.5,4.0,0.08,0.04,61.831199503850655,614.0,64.50000033773134,928.0,55.0,226.0,55.0,AWW,963.0,1096.0,3136.0
149,Switzerland,1.5,4.0,0.08,0.04,78.87758922386543,990.0,75.50000089558662,612.0,49.0,40.0,49.0,AWW,957.0,1050.0,2957.0
150,Switzerland,1.5,4.0,0.08,0.04,82.65415549362991,1602.0,82.50000064671302,1561.0,46.0,26.0,46.0,AWW,995.0,1129.0,3040.0
151,Switzerland,1.5,4.0,0.08,0.04,79.75315256957052,1581.0,71.50000098100199,493.0,55.0,62.0,55.0,AWW,1013.0,1034.0,2968.0
152,Switzerland,1.5,4.0,0.08,0.04,54.88682153447985,1557.0,54.50000079976087,1477.0,26.0,12.0,26.0,AWW,992.0,1082.0,2905.0
153,Switzerland,1.5,4.0,0.08,0.04,78.76186949056886,493.0,36.500000221824166,24.0,42.0,30.0,36.500000221824166,HARISS,985.0,1050.0,3027.0
154,Switzerland,1.5,4.0,0.08,0.04,59.97631975410022,1309.0,57.50000097893827,936.0,39.0,74.0,39.0,AWW,952.0,1070.0,2967.0
155,Switzerland,1.5,4.0,0.08,0.04,52.140745702835616,185.0,78.50000002459748,6739.0,51.0,157.0,51.0,AWW,992.0,1036.0,3008.0
156,Switzerland,1.5,4.0,0.08,0.04,45.08259326234979,1149.0,43.50000078533909,928.0,52.0,3285.0,43.50000078533909,HARISS,961.0,1050.0,3072.0
157,Switzerland,1.5,4.0,0.08,0.04,42.74820348054271,239.0,47.50000039157087,546.0,63.0,5690.0,42.74820348054271,ICU,920.0,1056.0,2902.0
158,Switzerland,1.5,4.0,0.08,0.04,57.13904707581095,79.0,68.50000031184895,247.0,45.0,23.0,45.0,AWW,989.0,1057.0,2953.0
159,Switzerland,1.5,4.0,0.08,0.04,31.970743659297582,1.0,Inf,NaN,60.0,1.0,31.970743659297582,ICU,943.0,1015.0,3017.0
160,Switzerland,1.5,4.0,0.08,0.04,43.85108318910582,86.0,78.50000013930506,1130.0,54.0,108.0,43.85108318910582,ICU,898.0,1081.0,3039.0
161,Switzerland,1.5,4.0,0.08,0.04,51.43768570616379,249.0,47.50000004694858,142.0,60.0,821.0,47.50000004694858,HARISS,990.0,1023.0,2934.0
162,Switzerland,1.5,4.0,0.08,0.04,75.25683329227031,1859.0,71.50000030499638,1090.0,52.0,72.0,52.0,AWW,988.0,1016.0,2993.0
163,Switzerland,1.5,4.0,0.08,0.04,58.372627705251475,1161.0,40.50000012876017,96.0,35.0,44.0,35.0,AWW,985.0,1107.0,3119.0
164,Switzerland,1.5,4.0,0.08,0.04,76.14099338751524,1350.0,78.50000023856225,1900.0,38.0,11.0,38.0,AWW,1000.0,1056.0,2998.0
165,Switzerland,1.5,4.0,0.08,0.04,48.16054512087655,160.0,43.500000413934245,85.0,53.0,323.0,43.500000413934245,HARISS,878.0,1089.0,2977.0
166,Switzerland,1.5,4.0,0.08,0.04,24.220945237772042,0.0,Inf,NaN,54.0,0.0,24.220945237772042,ICU,1013.0,1081.0,3007.0
