sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,aww_escalation_detection_time,aww_escalation_local_cases,hariss_triggered_detection_time,hariss_triggered_local_cases,aww_to_hariss_escalation_lag,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,earliest_detection_time_triggered,earliest_surveillance_type_triggered,total_latent,total_infectious,total_detectable
109,Switzerland,2.0,4.0,0.008,0.04,75.47492351152475,308116.0,54.50000077158355,6627.0,30.0,50.0,45.0,1124.0,7.0,0.0,50.50000092580773,3213.0,43.50000092580773,30.0,AWW,45.0,AWW,7.0,AWW_escalation,187994.0,175228.0,390637.0
110,Switzerland,2.0,4.0,0.008,0.04,71.86561320738856,166814.0,61.500000957076736,23499.0,35.0,61.0,46.0,1192.0,14.0,0.0,42.50000055721335,538.0,28.500000557213347,35.0,AWW,46.0,AWW,14.0,AWW_escalation,187329.0,175036.0,390205.0
111,Switzerland,2.0,4.0,0.008,0.04,70.6884345147265,129445.0,50.50000010649484,3385.0,42.0,836.0,42.0,836.0,22.0,0.0,43.50000087556423,1005.0,21.500000875564233,42.0,AWW,42.0,AWW,22.0,AWW_escalation,187533.0,175798.0,389712.0
112,Switzerland,2.0,4.0,0.008,0.04,77.80173505087588,470801.0,50.5000009140408,2435.0,38.0,125.0,44.0,623.0,38.0,125.0,57.500000727400895,9815.0,19.500000727400895,38.0,AWW,44.0,AWW,38.0,AWW_escalation,186730.0,175693.0,390661.0
113,Switzerland,2.0,4.0,0.008,0.04,68.0665561714697,77749.0,47.50000056027524,2231.0,33.0,243.0,43.0,1106.0,13.0,0.0,47.5000007661401,2231.0,34.5000007661401,33.0,AWW,43.0,AWW,13.0,AWW_escalation,187257.0,175220.0,390588.0
114,Switzerland,2.0,4.0,0.008,0.04,67.75029455770029,77236.0,50.500000267244666,3755.0,46.0,1981.0,47.0,2406.0,9.0,0.0,49.50000076628954,3295.0,40.50000076628954,46.0,AWW,47.0,AWW,9.0,AWW_escalation,186781.0,175455.0,390518.0
115,Switzerland,2.0,4.0,0.008,0.04,72.8908089731185,196411.0,50.50000012123725,3646.0,36.0,196.0,49.0,2990.0,19.0,13.0,50.50000019447766,3646.0,31.500000194477657,36.0,AWW,49.0,AWW,19.0,AWW_escalation,187017.0,175076.0,390839.0
116,Switzerland,2.0,4.0,0.008,0.04,67.80776502147576,74798.0,47.50000006875492,1907.0,38.0,463.0,44.0,1114.0,7.0,0.0,54.50000001228586,6069.0,47.50000001228586,38.0,AWW,44.0,AWW,7.0,AWW_escalation,187354.0,175977.0,390586.0
117,Switzerland,2.0,4.0,0.008,0.04,75.56696238510187,306966.0,57.50000074944934,11280.0,33.0,143.0,18.0,11.0,4.0,0.0,37.50000074349379,362.0,33.50000074349379,33.0,AWW,18.0,AWW,4.0,AWW_escalation,187176.0,176064.0,391887.0
118,Switzerland,2.0,4.0,0.008,0.04,67.2074819314621,70114.0,57.50000002445031,11854.0,34.0,83.0,46.0,1203.0,34.0,83.0,56.50000014394428,10147.0,22.500000143944277,34.0,AWW,46.0,AWW,34.0,AWW_escalation,187031.0,175303.0,390014.0
