country,R0,generation_time,airport_detection_prob,icu_sampling_proportion,airport_mean_detection_time,airport_std_detection_time,airport_mean_local_cases,airport_detection_rate,icu_mean_detection_time,icu_std_detection_time,icu_mean_local_cases,icu_detection_rate
Ecuador,2.0,6.0,0.08,0.1,68.18,7.447296302835158,19.19,1.0,87.26558446103984,14.531260396083217,99.89,1.0
Sierra Leone,2.0,6.0,0.08,0.1,62.69,9.131690849879762,21.22,1.0,83.96381461687686,16.606968112719045,111.6,1.0
Singapore,2.0,6.0,0.08,0.1,43.57,9.146677930905689,23.03,1.0,73.04290672963623,20.58083788584158,160.92,1.0
Ecuador,2.0,6.0,0.16,0.1,63.11,8.71767622637356,9.84,1.0,87.14818172452676,14.990224249312678,84.35,1.0
Sierra Leone,2.0,6.0,0.16,0.1,59.31,8.402374604235339,8.37,1.0,80.42547385149987,14.289879687975624,74.82,1.0
Singapore,2.0,6.0,0.16,0.1,38.01,11.091442692909748,10.44,1.0,70.31410780096418,21.708832903732645,116.63,1.0
Ecuador,2.0,8.0,0.04,0.1,88.01041666666667,8.181487178755482,23.614583333333332,0.96,95.91894171416108,12.461642220922055,42.142857142857146,0.98
Sierra Leone,2.0,8.0,0.04,0.1,82.60204081632654,8.907010786619495,23.93877551020408,0.98,93.93177638914175,11.93244847574413,58.44897959183673,0.98
Singapore,2.0,8.0,0.04,0.1,58.77,10.16515637068137,29.67,1.0,78.22228250269195,18.253171116910327,100.74,1.0
Ecuador,2.0,8.0,0.08,0.1,83.26,9.227341891565436,15.48,1.0,95.61974852347065,11.333795040727022,40.38383838383838,0.99
Sierra Leone,2.0,8.0,0.08,0.1,79.43,9.620322554914988,16.33,1.0,93.18880852279328,11.88822250586771,51.24,1.0
Singapore,2.0,8.0,0.08,0.1,54.1,11.201100234559393,17.87,1.0,75.83326929115516,19.132907341734214,74.3,1.0
Ecuador,2.0,8.0,0.16,0.1,78.12,11.68377965688788,8.26,1.0,94.48581473730493,12.246756686753507,34.89,1.0
Sierra Leone,2.0,8.0,0.16,0.1,70.99,11.975138387256298,7.2,1.0,94.00004142411073,13.018641690150368,43.90816326530612,0.98
Singapore,2.0,8.0,0.16,0.1,47.89,11.387477616427901,7.78,1.0,79.99922045055466,20.225084338324645,75.43,1.0
Ecuador,2.0,10.0,0.04,0.1,89.76470588235294,11.316544133391371,3.4705882352941178,0.34,97.7835662778077,14.280525245235443,14.76,0.25
Sierra Leone,2.0,10.0,0.04,0.1,94.21052631578948,9.79383341354808,13.035087719298245,0.57,96.85052865690197,16.327305523715232,13.306122448979592,0.49
Singapore,2.0,10.0,0.04,0.1,71.05,10.314621376541853,26.88,1.0,85.88535155515495,17.71949203747387,65.5,1.0
Ecuador,2.0,10.0,0.08,0.1,88.50909090909092,12.06751489847499,3.2181818181818183,0.55,97.75775488200783,14.886123731372068,7.948717948717949,0.39
Sierra Leone,2.0,10.0,0.08,0.1,90.26086956521739,13.258934010835068,10.847826086956522,0.92,99.77569371247556,11.394532367792745,14.685185185185185,0.54
Singapore,2.0,10.0,0.08,0.1,63.34,14.511033767795492,12.86,1.0,84.62775111255455,18.147816894137833,55.34,1.0
Ecuador,2.0,10.0,0.16,0.1,88.01234567901234,11.986965657705555,4.6419753086419755,0.81,100.14910965412417,11.969804328100738,12.310344827586206,0.29
Sierra Leone,2.0,10.0,0.16,0.1,85.62626262626263,13.69387309636332,7.191919191919192,0.99,100.59659307912027,11.007827257361406,16.174603174603174,0.63
Singapore,2.0,10.0,0.16,0.1,51.61,16.569349212728103,6.45,1.0,84.62553669548359,19.164485714094997,51.98989898989899,0.99
Ecuador,2.5,4.0,0.04,0.1,53.06741573033708,7.510292563011276,111.15730337078652,0.89,75.8202991215814,13.96947185524161,2467.71,1.0
