outbreak_country,time,daily_mean_imports,mean_detection_time,R0,generation_time,p_det,gamma_cumulative_shape,gamma_cumulative_rate
Congo,71,28.150939812402868,58.794056949087526,2.0,4,0.08,11.130081464640607,0.08584814800542888
Congo,72,33.98472668359031,58.794056949087526,2.0,4,0.08,11.266415444646825,0.07229870031441425
Congo,73,41.02689825678891,58.794056949087526,2.0,4,0.08,11.539797131188962,0.061277890297610244
Congo,74,49.52764239785705,58.794056949087526,2.0,4,0.08,11.817058457675493,0.052005088738824486
Congo,75,59.788924835882085,58.794056949087526,2.0,4,0.08,12.21325253701454,0.04467431289647227
Congo,76,72.17520067196415,58.794056949087526,2.0,4,0.08,13.469942002760567,0.04101954606171239
Congo,77,87.12634122663695,58.794056949087526,2.0,4,0.08,17.6811892389066,0.045452831713641964
Congo,78,105.17323416292072,58.794056949087526,2.0,4,0.08,32.92701898710063,0.07207002028690887
Congo,79,126.95660983068001,58.794056949087526,2.0,4,0.08,80.34567585274276,0.15900937044637828
Congo,80,153.24976111579338,58.794056949087526,2.0,4,0.08,,
Congo,81,184.98596231811712,58.794056949087526,2.0,4,0.08,,
Congo,82,223.29155971827072,58.794056949087526,2.0,4,0.08,,
Congo,83,269.5259083362705,58.794056949087526,2.0,4,0.08,,
Congo,84,325.3295741842185,58.794056949087526,2.0,4,0.08,,
Congo,85,392.68251743608334,58.794056949087526,2.0,4,0.08,,
Congo,86,473.9743322510885,58.794056949087526,2.0,4,0.08,,
Congo,87,572.0890574980517,58.794056949087526,2.0,4,0.08,,
Congo,88,690.5076093948251,58.794056949087526,2.0,4,0.08,,
Congo,89,833.4315482485335,58.794056949087526,2.0,4,0.08,,
Congo,90,1005.9327133366078,58.794056949087526,2.0,4,0.08,,
Congo,91,1214.1342971714357,58.794056949087526,2.0,4,0.08,,
Congo,92,1465.4302686989513,58.794056949087526,2.0,4,0.08,,
Congo,93,1768.751846734509,58.794056949087526,2.0,4,0.08,,
Congo,94,2134.89230220675,58.794056949087526,2.0,4,0.08,99.99999456697324,0.1983967826993452
Congo,95,2576.9063403380333,58.794056949087526,2.0,4,0.08,99.99999262289522,0.19839677880339723
Congo,96,3110.754648283173,58.794056949087526,2.0,4,0.08,98.22817591601932,0.1948460439198784
Congo,97,32376398.29499278,58.794056949087526,2.0,4,0.08,85.95436865449628,0.17024923578055368
Congo,98,,58.794056949087526,2.0,4,0.08,,
Congo,99,,58.794056949087526,2.0,4,0.08,,
Congo,100,,58.794056949087526,2.0,4,0.08,,
Congo,101,,58.794056949087526,2.0,4,0.08,,
Congo,102,,58.794056949087526,2.0,4,0.08,,
Congo,103,,58.794056949087526,2.0,4,0.08,,
Congo,104,,58.794056949087526,2.0,4,0.08,,
Congo,105,,58.794056949087526,2.0,4,0.08,,
